Date,Predicted_Sales,Lower_Bound,Upper_Bound
2018-03-24,2976.6491034461064,168.69269024421922,5565.094439537222
2018-03-25,3134.6736064110196,425.81354403463763,5639.286822198868
2018-03-26,3286.746499689773,735.773793321605,5787.802340085665
2018-03-27,2067.6932822900344,-468.974736931919,4650.455779603579
2018-03-28,701.3228176756742,-1876.031115343589,3080.007244138252
2018-03-29,2479.2092669267013,-73.93801593808757,5006.885054367553
2018-03-30,3045.297728929162,379.72248333143637,5567.119061684923
2018-03-31,2475.3205054815153,176.78480930146208,5150.606437178107
2018-04-01,2622.4060555880274,-186.0389541642945,5075.78515727152
2018-04-02,2772.3662839611043,245.48209909676072,5324.764416621229
2018-04-03,1555.4486161554407,-1194.3650786875746,3955.8858886295557
2018-04-04,198.22296089311325,-2361.1623372556346,2875.739823601918
2018-04-05,2000.8694823850278,-385.4890656732662,4765.147459921114
